10.00 30.00 0.000000000000000E+00 0.000000000000000E+00
30.00 50.00 8.077710458134629E-03 2.663269914249750E-05
50.00 70.00 1.047999182950055E-02 5.095802351396555E-05
70.00 90.00 1.018016641727141E-02 4.642995197518274E-05
90.00 110.00 8.688854575202963E-03 4.062499424180532E-05
110.00 130.00 6.833255536909791E-03 3.289573035389392E-05
130.00 150.00 5.045634975317474E-03 3.216173675952300E-05
150.00 170.00 3.675461888200680E-03 3.718861686466246E-05
170.00 190.00 2.725133761906434E-03 2.908979876142529E-05
190.00 210.00 2.019363424027849E-03 2.066570377202244E-05
210.00 230.00 1.501079492002645E-03 2.562748366937716E-05
230.00 250.00 1.135354035710980E-03 1.823552706821841E-05
250.00 270.00 8.497373663823897E-04 2.475267751222655E-05
270.00 290.00 6.696788096106109E-04 1.309714716435593E-05
290.00 310.00 4.857766526949618E-04 1.516442371966466E-05
310.00 330.00 4.000074559879147E-04 1.193540227076641E-05
330.00 350.00 3.102350520052424E-04 7.911605991327198E-06
350.00 370.00 2.415334478955279E-04 8.106458510720141E-06
370.00 390.00 1.763765198717193E-04 1.009852714275871E-05
390.00 410.00 1.458055259875732E-04 1.038095597738995E-05
410.00 430.00 1.231759824358942E-04 7.677283117592646E-06
430.00 450.00 9.463880582513300E-05 7.453441502996544E-06
450.00 470.00 7.574687045360827E-05 5.647225717030186E-06
470.00 490.00 6.130689774882232E-05 4.821322103865211E-06
490.00 510.00 4.679521805683025E-05 6.165770425458827E-06
510.00 530.00 4.750863995501893E-05 3.485069994081341E-06
530.00 550.00 3.712960223415355E-05 2.648444848621423E-06
550.00 570.00 2.972767727271248E-05 2.633977231882268E-06
570.00 590.00 2.600660476943608E-05 2.179361442285255E-06
590.00 610.00 1.716615085058520E-05 3.742989790084173E-06
610.00 630.00 1.714592760318526E-05 1.709752307068736E-06
630.00 650.00 1.485068367367640E-05 1.361980103205648E-06
650.00 670.00 1.382167206249164E-05 7.871724301708986E-07
670.00 690.00 5.830799538185880E-06 2.791460930055990E-06
690.00 710.00 7.817668986754690E-06 1.549198828460929E-06
710.00 730.00 7.183922827072369E-06 9.683008065384479E-07
730.00 750.00 6.753145870744433E-06 7.174575294856047E-07
750.00 770.00 4.793821330691400E-06 6.069230254467555E-07
770.00 790.00 3.565631521540273E-06 9.032515265152971E-07
790.00 810.00 3.844742402083739E-06 6.377062531666796E-07
810.00 830.00 3.309173174346710E-06 4.347542266440981E-07
830.00 850.00 2.693140705989447E-06 3.434009678865067E-07
850.00 870.00 1.975165389921525E-06 6.051182451956278E-07
870.00 890.00 1.630389774663498E-06 3.979374953270589E-07
890.00 910.00 1.039076551580086E-06 8.192467316968137E-07
910.00 930.00 -2.007669383949268E-06 2.891797683686429E-06
930.00 950.00 6.328566201311668E-07 5.042114237046488E-07
950.00 970.00 1.130569170079269E-06 1.473137073516567E-07
970.00 990.00 2.881403820114395E-07 4.390718660481107E-07
990.00 1010.00 -1.315958938237462E-06 1.947641863859292E-06
1010.00 1030.00 3.872576992525509E-07 2.477213829445782E-07
1030.00 1050.00 6.322842794030705E-07 8.589328898618255E-08
1050.00 1070.00 6.005674764278985E-07 7.629218230842642E-08
1070.00 1090.00 5.421729292542944E-07 3.479187163524197E-08
1090.00 1110.00 3.147473356220072E-07 7.291359902698578E-08
1110.00 1130.00 3.312198412972798E-08 1.958986864239153E-07
1130.00 1150.00 2.892156904872393E-07 3.754289804060728E-08
1150.00 1170.00 2.314764277325955E-07 3.301509425234666E-08
1170.00 1190.00 2.486009571365722E-07 2.048525280309922E-08
1190.00 1210.00 2.981607121652961E-08 1.329410807396623E-07
1210.00 1230.00 -3.425110926305040E-08 1.330527440650317E-07
1230.00 1250.00 1.423920387054282E-07 1.283391730929796E-08
1250.00 1270.00 1.470008960532351E-07 7.808161557254307E-09
1270.00 1290.00 4.905264553690622E-08 5.038747151168458E-08
1290.00 1310.00 8.622869487996904E-08 1.482023145393076E-08
1310.00 1330.00 7.969725139850520E-08 1.349297061523287E-08
1330.00 1350.00 6.756178558989478E-08 8.756130159934871E-09
1350.00 1370.00 3.187962233206369E-08 1.857299787434534E-08
1370.00 1390.00 4.390906164558456E-08 1.029609608132219E-08
1390.00 1410.00 -4.490670740266274E-08 8.155708378119673E-08
1410.00 1430.00 2.760245592795631E-08 7.083014534704518E-09
1430.00 1450.00 1.449799416274777E-08 8.992774847659580E-09
1450.00 1470.00 1.833267883688170E-08 9.043890204768616E-09
1470.00 1490.00 1.788422625228969E-08 4.976875221868289E-09
1490.00 1510.00 1.047746675585259E-08 5.173582129568624E-09
1510.00 1530.00 7.026790512665857E-09 1.031612663756996E-08
1530.00 1550.00 1.427726791462005E-08 1.133396240565180E-09
1550.00 1570.00 1.213481313286897E-09 1.055765020173908E-08
1570.00 1590.00 1.075105036164596E-08 8.650651994644968E-10
1590.00 1610.00 -1.425390351072230E-09 6.679522124267316E-09
1610.00 1630.00 2.135808999001858E-09 4.441493020980448E-09
1630.00 1650.00 6.416280226294174E-09 4.565353988803473E-10
1650.00 1670.00 4.093418579765366E-09 8.305143766590892E-10
1670.00 1690.00 4.602716592537596E-09 4.550256809777162E-10
1690.00 1710.00 3.234781113099218E-09 4.856626034092323E-10
1710.00 1730.00 4.134730064724574E-10 2.769880588878828E-09
1730.00 1750.00 2.549871497691480E-09 4.460842477147244E-10
1750.00 1770.00 2.050169110409912E-09 3.946553164335056E-10
1770.00 1790.00 1.341970820357903E-09 4.393042038723040E-10
1790.00 1810.00 1.623584449089479E-09 1.539062667864251E-10
1810.00 1830.00 9.201549931962800E-10 2.833892911319122E-10
1830.00 1850.00 -7.569738803208612E-10 1.152281349869055E-09
1850.00 1870.00 6.515734079956399E-10 1.657375922644518E-10
1870.00 1890.00 -5.342786911049752E-10 1.134046472160937E-09
1890.00 1910.00 7.308000605984513E-10 4.991664037641859E-11
1910.00 1930.00 3.708365199163763E-10 6.028033628450003E-11
1930.00 1950.00 4.476581593593713E-10 8.534316128278955E-11
1950.00 1970.00 3.561615507038649E-10 4.862416248672699E-11
1970.00 1990.00 2.700099026826986E-10 5.198016441185561E-11
1990.00 2010.00 2.370624191301414E-10 3.771527410243026E-11
2010.00 2030.00 1.864687064465999E-10 1.520893887741449E-11
2030.00 2050.00 -7.537208801707731E-11 1.719377647605775E-10
2050.00 2070.00 1.329909606603873E-10 1.252798997689806E-11
2070.00 2090.00 7.732281657340784E-11 2.024156194279663E-11
2090.00 2110.00 1.344354331426996E-10 5.187905548399232E-11
2110.00 2130.00 7.838652204906566E-11 1.002900991037081E-11
2130.00 2150.00 4.282553002613367E-11 5.138445583105757E-12
2150.00 2170.00 4.278217429868946E-11 4.915419625914615E-12
2170.00 2190.00 1.529971987188931E-11 1.772518723765543E-11
2190.00 2210.00 1.406149907960696E-11 9.674706687522832E-12
2210.00 2230.00 1.835073483679131E-11 3.085919319963237E-12
2230.00 2250.00 -1.019313556556830E-12 1.059219811791550E-11
2250.00 2270.00 1.532534281815650E-11 2.073913514706084E-12
2270.00 2290.00 9.924440693463090E-12 1.288058386204523E-12
2290.00 2310.00 6.718608514094651E-12 1.091345237008978E-12
2310.00 2330.00 7.117295410561212E-12 1.358327317396992E-12
2330.00 2350.00 5.289849133873543E-12 1.565068660603460E-12
2350.00 2370.00 3.286209483049961E-12 4.064979465556426E-13
2370.00 2390.00 3.422667593846493E-12 4.906663221173770E-13
2390.00 2410.00 2.879750420282003E-12 7.567996320554969E-13
2410.00 2430.00 2.547406672269576E-12 4.582644981698518E-13
2430.00 2450.00 1.213971132902335E-12 4.274804244934392E-13
2450.00 2470.00 -2.315652355986812E-11 2.469556972766262E-11
2470.00 2490.00 9.023130404168505E-13 1.772604432806766E-13
2490.00 2510.00 4.751847363672195E-13 1.158318317504263E-13
2510.00 2530.00 5.145697355477972E-13 1.821813593850681E-13
2530.00 2550.00 3.157868741950693E-13 5.676969285681915E-14
2550.00 2570.00 2.628276718000865E-13 4.913463948429745E-14
2570.00 2590.00 1.520759556849602E-13 2.747710918288802E-14
2590.00 2610.00 8.038084858020150E-14 1.921832473748681E-14
2610.00 2630.00 1.718539854270078E-13 9.176642435612806E-14
2630.00 2650.00 3.987290865123080E-14 6.972697326637244E-15
2650.00 2670.00 4.350528761156815E-14 8.978885680766663E-15
2670.00 2690.00 2.487819022036040E-14 6.109868353329198E-15
2690.00 2710.00 8.559497773405045E-15 6.826625326560243E-15
2710.00 2730.00 2.114607662317474E-14 5.318023433638326E-15
2730.00 2750.00 2.088935695646586E-14 7.620815732197602E-15
2750.00 2770.00 1.622540541804908E-14 8.702654179805376E-15
2770.00 2790.00 4.123460517721192E-15 1.688454322416349E-15
2790.00 2810.00 5.463718745639970E-15 2.752685115097082E-15
2810.00 2830.00 2.982940874401113E-15 9.511154632409952E-16
2830.00 2850.00 -3.597882744882624E-17 1.449610890305404E-15
2850.00 2870.00 4.801253712643849E-16 3.017112181523248E-16
2870.00 2890.00 3.177750997648892E-16 3.229499156537375E-16
2890.00 2910.00 3.176248337139956E-16 1.419566408538798E-16
2910.00 2930.00 1.047296322453956E-16 2.313813553592603E-16
2930.00 2950.00 1.523555705010130E-17 1.345668230491808E-16
2950.00 2970.00 1.062085310196883E-16 6.918600761735218E-17
2970.00 2990.00 2.994682483193715E-16 2.900690478161835E-16
2990.00 3010.00 1.113693083795719E-17 2.384388278989400E-17
3010.00 3030.00 5.720559851876649E-17 5.637698340122294E-17
3030.00 3050.00 -2.254535333047530E-19 4.978465197692756E-18
3050.00 3070.00 7.113042589241687E-18 9.974139075952373E-18
3070.00 3090.00 -3.824470607430281E-18 3.244392296872708E-18
3090.00 3110.00 -5.664796616209745E-19 2.407491291902457E-18
3110.00 3130.00 5.175204723680153E-19 9.193313618452151E-19
3130.00 3150.00 -6.606316599007098E-19 6.157028751438193E-19
3150.00 3170.00 2.057772345627790E-19 1.985468367245340E-19
3170.00 3190.00 8.130829615156761E-19 5.586375554099987E-19
3190.00 3210.00 -3.506648877371986E-19 2.627483279171546E-19
3210.00 3230.00 1.159995971813296E-19 1.586589933815974E-19
3230.00 3250.00 -2.810490946094151E-21 1.243099816895668E-20
3250.00 3270.00 7.064834838108845E-21 6.250334654445935E-21
3270.00 3290.00 2.938838329053488E-21 3.557620657341428E-21
3290.00 3310.00 -1.148668983118663E-22 1.148668983026136E-22
3310.00 3330.00 4.969939668463053E-23 4.969939668001872E-23
3330.00 3350.00 0.000000000000000E+00 0.000000000000000E+00
